Year,Sport,Event,Country,Gender,Medal Rank,Medal,Name of Athlete or Team,Age of Athlete
1928,Skeleton,Men's Skeleton,United States,Men,1,gold,Jennison Heaton,23
1928,Skeleton,Men's Skeleton,United States,Men,2,silver,Jack Heaton,19
1928,Skeleton,Men's Skeleton,Britain,Men,3,bronze,"David, Earl of Northesk",26
1928,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Alf Andersen,21
1928,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Sigmund Ruud,20
1928,Ski Jumping,"Men's Normal Hill, Individual",Czechoslovakia,Men,3,bronze,Rudolf Burkert,23
1928,Speedskating,Men's 500 Meters,Norway,Men,1,gold,Bernt Evensen,22
1928,Speedskating,Men's 500 Meters,Finland,Men,1,gold,Clas Thunberg,34
1928,Speedskating,Men's 500 Meters,United States,Men,3,bronze,John O'Neil Farrell,21
1928,Speedskating,Men's 500 Meters,Finland,Men,3,bronze,Jaakko Friman,24
1928,Speedskating,Men's 500 Meters,Norway,Men,3,bronze,Roald Larsen,30
1928,Speedskating,"Men's 1,500 Meters",Finland,Men,1,gold,Clas Thunberg,34
1928,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Bernt Evensen,22
1928,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Ivar Ballangrud,23
1928,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Ivar Ballangrud,23
1928,Speedskating,"Men's 5,000 Meters",Finland,Men,2,silver,Julius Skutnabb,38
1928,Speedskating,"Men's 5,000 Meters",Norway,Men,3,bronze,Bernt Evensen,22
1932,Bobsled,Men's Two,United States,Men,1,gold,United States-1,
1932,Bobsled,Men's Two,Switzerland,Men,2,silver,Switzerland-2,
1932,Bobsled,Men's Two,United States,Men,3,bronze,United States-2,
1932,Bobsled,Men's Four,United States,Men,1,gold,United States-1,
1932,Bobsled,Men's Four,United States,Men,2,silver,United States-2,
1932,Bobsled,Men's Four,Germany,Men,3,bronze,Germany-1,
1932,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,1,gold,Sven UtterstrÃ¶m,30
1932,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,2,silver,Axel WikstrÃ¶m,24
1932,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Veli Saarinen,29
1932,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,1,gold,Veli Saarinen,29
1932,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,2,silver,VÃ_inÃ¶ Liikkanen,28
1932,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,3,bronze,Arne Rustadstuen,26
1932,Figure Skating,Men's Singles,Austria,Men,1,gold,Karl SchÃ_fer,22
1932,Figure Skating,Men's Singles,Sweden,Men,2,silver,Gillis GrafstrÃ¶m,38
1932,Figure Skating,Men's Singles,Canada,Men,3,bronze,Bud Wilson,22
1932,Figure Skating,Mixed Pairs,France,Mixed,1,gold,France,
1932,Figure Skating,Mixed Pairs,United States,Mixed,2,silver,United States-1,
1932,Figure Skating,Mixed Pairs,Hungary,Mixed,3,bronze,Hungary-1,
1932,Figure Skating,Women's Singles,Norway,Women,1,gold,Sonja Henie,19
1932,Figure Skating,Women's Singles,Austria,Women,2,silver,Fritzi Burger,21
1932,Figure Skating,Women's Singles,United States,Women,3,bronze,Maribel Vinson,20
1932,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada,
1932,Ice Hockey,Men's Ice Hockey,United States,Men,2,silver,United States,
1932,Ice Hockey,Men's Ice Hockey,Germany,Men,3,bronze,Germany,
1932,Nordic Combined,Men's Individual,Norway,Men,1,gold,Johan GrÃ¸ttumsbraaten,32
1932,Nordic Combined,Men's Individual,Norway,Men,2,silver,Ole Stenen,28
1932,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Hans Vinjarengen,26
1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Birger Ruud,20
1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Hans Beck,20
1932,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,3,bronze,KÃ¥re Walberg,19
1932,Speedskating,Men's 500 Meters,United States,Men,1,gold,Jack Shea,21
1932,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Bernt Evensen,26
1932,Speedskating,Men's 500 Meters,Canada,Men,3,bronze,Alex Hurd,21
1932,Speedskating,"Men's 1,500 Meters",United States,Men,1,gold,Jack Shea,21
1932,Speedskating,"Men's 1,500 Meters",Canada,Men,2,silver,Alex Hurd,21
1932,Speedskating,"Men's 1,500 Meters",Canada,Men,3,bronze,Willy Logan,24
1932,Speedskating,"Men's 5,000 Meters",United States,Men,1,gold,Irving Jaffee,25
1932,Speedskating,"Men's 5,000 Meters",United States,Men,2,silver,Eddie Murphy,27
1932,Speedskating,"Men's 5,000 Meters",Canada,Men,3,bronze,Willy Logan,24
1932,Speedskating,"Men's 10,000 Meters",United States,Men,1,gold,Irving Jaffee,25
1932,Speedskating,"Men's 10,000 Meters",Norway,Men,2,silver,Ivar Ballangrud,27
1932,Speedskating,"Men's 10,000 Meters",Canada,Men,3,bronze,Frank Stack,26
1936,Alpine Skiing,Men's Combined,Germany,Men,1,gold,Franz PfnÃ_r,27
1936,Alpine Skiing,Men's Combined,Germany,Men,2,silver,Gustav Lantschner,25
1936,Alpine Skiing,Men's Combined,France,Men,3,bronze,Ã‰mile Allais,23
1936,Alpine Skiing,Women's Combined,Germany,Women,1,gold,Christl Cranz,21
1936,Alpine Skiing,Women's Combined,Germany,Women,2,silver,KÃ_the Grasegger,18
1936,Alpine Skiing,Women's Combined,Norway,Women,3,bronze,Laila Schou Nilsen,16
1936,Bobsled,Men's Two,United States,Men,1,gold,United States-1,
1936,Bobsled,Men's Two,Switzerland,Men,2,silver,Switzerland-2,
1936,Bobsled,Men's Two,United States,Men,3,bronze,United States-2,
1936,Bobsled,Men's Four,Switzerland,Men,1,gold,Switzerland-2,
1936,Bobsled,Men's Four,Switzerland,Men,2,silver,Switzerland-1,
1936,Bobsled,Men's Four,Britain,Men,3,bronze,Britain,
1936,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,1,gold,Erik Larsson,23
1936,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,2,silver,OddbjÃ¸rn Hagen,28
1936,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Pekka Niemi,26
1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,1,gold,Elis Wiklund,26
1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,2,silver,Axel WikstrÃ¶m,28
1936,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,3,bronze,Nils Englund,28
1936,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,1,gold,Finland,
1936,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,2,silver,Norway,
1936,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Sweden,Men,3,bronze,Sweden,
1936,Figure Skating,Men's Singles,Austria,Men,1,gold,Karl SchÃ_fer,26
1936,Figure Skating,Men's Singles,Germany,Men,2,silver,Ernst Baier,30
1936,Figure Skating,Men's Singles,Austria,Men,3,bronze,Felix Kaspar,21
1936,Figure Skating,Mixed Pairs,Germany,Mixed,1,gold,Germany-1,
1936,Figure Skating,Mixed Pairs,Austria,Mixed,2,silver,Austria-1,
1936,Figure Skating,Mixed Pairs,Hungary,Mixed,3,bronze,Hungary-1,
1936,Figure Skating,Women's Singles,Norway,Women,1,gold,Sonja Henie,23
1936,Figure Skating,Women's Singles,Britain,Women,2,silver,Cecilia Colledge,15
1936,Figure Skating,Women's Singles,Sweden,Women,3,bronze,Vivi-Anne HultÃ©n,24
1936,Ice Hockey,Men's Ice Hockey,Britain,Men,1,gold,Britain,
1936,Ice Hockey,Men's Ice Hockey,Canada,Men,2,silver,Canada,
1936,Ice Hockey,Men's Ice Hockey,United States,Men,3,bronze,United States,
1936,Nordic Combined,Men's Individual,Norway,Men,1,gold,OddbjÃ¸rn Hagen,28
1936,Nordic Combined,Men's Individual,Norway,Men,2,silver,Olaf Hoffsbakken,27
1936,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Sverre Brodahl,27
1936,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Birger Ruud,24
1936,Ski Jumping,"Men's Normal Hill, Individual",Sweden,Men,2,silver,Sven Eriksson,28
1936,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,3,bronze,Reidar Andersen,24
1936,Speedskating,Men's 500 Meters,Norway,Men,1,gold,Ivar Ballangrud,31
1936,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Georg Krog,20
1936,Speedskating,Men's 500 Meters,United States,Men,3,bronze,Leo Freisinger,19
1936,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Charles Mathiesen,24
1936,Speedskating,"Men's 1,500 Meters",Norway,Men,2,silver,Ivar Ballangrud,31
1936,Speedskating,"Men's 1,500 Meters",Finland,Men,3,bronze,Birger Wasenius,24
1936,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Ivar Ballangrud,31
1936,Speedskating,"Men's 5,000 Meters",Finland,Men,2,silver,Birger Wasenius,24
1936,Speedskating,"Men's 5,000 Meters",Finland,Men,3,bronze,Antero Ojala,19
1936,Speedskating,"Men's 10,000 Meters",Norway,Men,1,gold,Ivar Ballangrud,31
1936,Speedskating,"Men's 10,000 Meters",Finland,Men,2,silver,Birger Wasenius,24
1936,Speedskating,"Men's 10,000 Meters",Austria,Men,3,bronze,Max Stiepl,21
1948,Alpine Skiing,Men's Downhill,France,Men,1,gold,Henri Oreiller,22
1948,Alpine Skiing,Men's Downhill,Austria,Men,2,silver,Franz Gabl,26
1948,Alpine Skiing,Men's Downhill,Switzerland,Men,3,bronze,Karl Molitor,27
1948,Alpine Skiing,Men's Downhill,Switzerland,Men,3,bronze,Ralph Olinger,23
1948,Alpine Skiing,Men's Slalom,Switzerland,Men,1,gold,Edy Reinalter,27
1948,Alpine Skiing,Men's Slalom,France,Men,2,silver,James Couttet,26
1948,Alpine Skiing,Men's Slalom,France,Men,3,bronze,Henri Oreiller,22
1948,Alpine Skiing,Men's Combined,France,Men,1,gold,Henri Oreiller,22
1948,Alpine Skiing,Men's Combined,Switzerland,Men,2,silver,Karl Molitor,27
1948,Alpine Skiing,Men's Combined,France,Men,3,bronze,James Couttet,26
1948,Alpine Skiing,Women's Downhill,Switzerland,Women,1,gold,Hedy Schlunegger,24
1948,Alpine Skiing,Women's Downhill,Austria,Women,2,silver,Trude Jochum-Beiser,20
1948,Alpine Skiing,Women's Downhill,Austria,Women,3,bronze,Resi Hammerer,22
1948,Alpine Skiing,Women's Slalom,United States,Women,1,gold,Gretchen Fraser,28
1948,Alpine Skiing,Women's Slalom,Switzerland,Women,2,silver,Antoinette Meyer,27
1948,Alpine Skiing,Women's Slalom,Austria,Women,3,bronze,Erika Mahringer,23
1948,Alpine Skiing,Women's Combined,Austria,Women,1,gold,Trude Jochum-Beiser,20
1948,Alpine Skiing,Women's Combined,United States,Women,2,silver,Gretchen Fraser,28
1948,Alpine Skiing,Women's Combined,Austria,Women,3,bronze,Erika Mahringer,23
1948,Bobsled,Men's Two,Switzerland,Men,1,gold,Switzerland-2,
1948,Bobsled,Men's Two,Switzerland,Men,2,silver,Switzerland-1,
1948,Bobsled,Men's Two,United States,Men,3,bronze,United States-2,
1948,Bobsled,Men's Four,United States,Men,1,gold,United States-2,
1948,Bobsled,Men's Four,Belgium,Men,2,silver,Belgium,
1948,Bobsled,Men's Four,United States,Men,3,bronze,United States-1,
1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,1,gold,Martin LundstrÃ¶m,29
1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,2,silver,Nils Ã–stensson,29
1948,Cross-Country Skiing,Men's 18 Kilometers,Sweden,Men,3,bronze,Gunnar Eriksson,27
1948,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,1,gold,Nils Karlsson,30
1948,Cross-Country Skiing,Men's 50 Kilometers,Sweden,Men,2,silver,Harald Ericson,26
1948,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,3,bronze,Benjam Vanninen,26
1948,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Sweden,Men,1,gold,Sweden,
1948,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,2,silver,Finland,
1948,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,3,bronze,Norway,
1948,Figure Skating,Men's Singles,United States,Men,1,gold,Dick Button,18
1948,Figure Skating,Men's Singles,Switzerland,Men,2,silver,Hans Gerschwiler,27
1948,Figure Skating,Men's Singles,Austria,Men,3,bronze,Edi Rada,25
1948,Figure Skating,Mixed Pairs,Belgium,Mixed,1,gold,Belgium,
1948,Figure Skating,Mixed Pairs,Hungary,Mixed,2,silver,Hungary-1,
1948,Figure Skating,Mixed Pairs,Canada,Mixed,3,bronze,Canada,
1948,Figure Skating,Women's Singles,Canada,Women,1,gold,Barbara Ann Scott,19
1948,Figure Skating,Women's Singles,Austria,Women,2,silver,Eva Pawlik,20
1948,Figure Skating,Women's Singles,Britain,Women,3,bronze,Jeannette Altwegg,17
1948,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada,
1948,Ice Hockey,Men's Ice Hockey,Czechoslovakia,Men,2,silver,Czechoslovakia,
1948,Ice Hockey,Men's Ice Hockey,Switzerland,Men,3,bronze,Switzerland,
1948,Nordic Combined,Men's Individual,Finland,Men,1,gold,Heikki Hasu,21
1948,Nordic Combined,Men's Individual,Finland,Men,2,silver,Martti Huhtala,29
1948,Nordic Combined,Men's Individual,Sweden,Men,3,bronze,Sven Israelsson,28
1948,Skeleton,Men's Skeleton,Italy,Men,1,gold,Nino Bibbia,25
1948,Skeleton,Men's Skeleton,United States,Men,2,silver,Jack Heaton,39
1948,Skeleton,Men's Skeleton,Britain,Men,3,bronze,John Crammond,41
1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Petter Hugsted,26
1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,Birger Ruud,36
1948,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,3,bronze,Thorleif Schjelderup,28
1948,Speedskating,Men's 500 Meters,Norway,Men,1,gold,Finn Helgesen,28
1948,Speedskating,Men's 500 Meters,United States,Men,2,silver,Ken Bartholomew,27
1948,Speedskating,Men's 500 Meters,Norway,Men,2,silver,Thomas Byberg,31
1948,Speedskating,Men's 500 Meters,United States,Men,2,silver,Bobby Fitzgerald,24
1948,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Sverre Farstad,27
1948,Speedskating,"Men's 1,500 Meters",Sweden,Men,2,silver,Ã…ke Seyffarth,28
1948,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Odd Lundberg,30
1948,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Reidar Liaklev,30
1948,Speedskating,"Men's 5,000 Meters",Norway,Men,2,silver,Odd Lundberg,30
1948,Speedskating,"Men's 5,000 Meters",Sweden,Men,3,bronze,GÃ¶the Hedlund,29
1948,Speedskating,"Men's 10,000 Meters",Sweden,Men,1,gold,Ã…ke Seyffarth,28
1948,Speedskating,"Men's 10,000 Meters",Finland,Men,2,silver,Lassi Parkkinen,30
1948,Speedskating,"Men's 10,000 Meters",Finland,Men,3,bronze,Pentti Lammio,28
1952,Alpine Skiing,Men's Downhill,Italy,Men,1,gold,Zeno ColÃ_,31
1952,Alpine Skiing,Men's Downhill,Austria,Men,2,silver,Othmar Schneider,23
1952,Alpine Skiing,Men's Downhill,Austria,Men,3,bronze,Christian Pravda,24
1952,Alpine Skiing,Men's Giant Slalom,Norway,Men,1,gold,Stein Eriksen,24
1952,Alpine Skiing,Men's Giant Slalom,Austria,Men,2,silver,Christian Pravda,24
1952,Alpine Skiing,Men's Giant Slalom,Austria,Men,3,bronze,Toni SpiÃŸ,21
1952,Alpine Skiing,Men's Slalom,Austria,Men,1,gold,Othmar Schneider,23
1952,Alpine Skiing,Men's Slalom,Norway,Men,2,silver,Stein Eriksen,24
1952,Alpine Skiing,Men's Slalom,Norway,Men,3,bronze,Guttorm Berge,22
1952,Alpine Skiing,Women's Downhill,Austria,Women,1,gold,Trude Jochum-Beiser,24
1952,Alpine Skiing,Women's Downhill,Germany,Women,2,silver,Mirl Buchner,27
1952,Alpine Skiing,Women's Downhill,Italy,Women,3,bronze,Giuliana Chenal-Minuzzo,20
1952,Alpine Skiing,Women's Giant Slalom,United States,Women,1,gold,Andrea Mead-Lawrence,19
1952,Alpine Skiing,Women's Giant Slalom,Austria,Women,2,silver,Dagmar Rom,23
1952,Alpine Skiing,Women's Giant Slalom,Germany,Women,3,bronze,Mirl Buchner,27
1952,Alpine Skiing,Women's Slalom,United States,Women,1,gold,Andrea Mead-Lawrence,19
1952,Alpine Skiing,Women's Slalom,Germany,Women,2,silver,Ossi Reichert,26
1952,Alpine Skiing,Women's Slalom,Germany,Women,3,bronze,Mirl Buchner,27
1952,Bobsled,Men's Two,Germany,Men,1,gold,Germany-1,
1952,Bobsled,Men's Two,United States,Men,2,silver,United States-1,
1952,Bobsled,Men's Two,Switzerland,Men,3,bronze,Switzerland-1,
1952,Bobsled,Men's Four,Germany,Men,1,gold,Germany,
1952,Bobsled,Men's Four,United States,Men,2,silver,United States-1,
1952,Bobsled,Men's Four,Switzerland,Men,3,bronze,Switzerland-1,
1952,Cross-Country Skiing,Men's 18 Kilometers,Norway,Men,1,gold,Hallgeir Brenden,23
1952,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,2,silver,Tapio MÃ_kelÃ_,25
1952,Cross-Country Skiing,Men's 18 Kilometers,Finland,Men,3,bronze,Paavo Lonkila,29
1952,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,1,gold,Veikko Hakulinen,27
1952,Cross-Country Skiing,Men's 50 Kilometers,Finland,Men,2,silver,Eero Kolehmainen,33
1952,Cross-Country Skiing,Men's 50 Kilometers,Norway,Men,3,bronze,Magnar Estenstad,27
1952,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Finland,Men,1,gold,Finland,
1952,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Norway,Men,2,silver,Norway,
1952,Cross-Country Skiing,Men's 4 Ã— 10-Kilometer Relay,Sweden,Men,3,bronze,Sweden,
1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,1,gold,Lydia Wideman,31
1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,2,silver,Mirja Hietamies,21
1952,Cross-Country Skiing,Women's 10 Kilometers,Finland,Women,3,bronze,Siiri Rantanen,27
1952,Figure Skating,Men's Singles,United States,Men,1,gold,Dick Button,22
1952,Figure Skating,Men's Singles,Austria,Men,2,silver,Helmut Seibt,22
1952,Figure Skating,Men's Singles,United States,Men,3,bronze,Jim Grogan,20
1952,Figure Skating,Mixed Pairs,Germany,Mixed,1,gold,Germany-1,
1952,Figure Skating,Mixed Pairs,United States,Mixed,2,silver,United States-1,
1952,Figure Skating,Mixed Pairs,Hungary,Mixed,3,bronze,Hungary-1,
1952,Figure Skating,Women's Singles,Britain,Women,1,gold,Jeannette Altwegg,21
1952,Figure Skating,Women's Singles,United States,Women,2,silver,Tenley Albright,16
1952,Figure Skating,Women's Singles,France,Women,3,bronze,Jacqueline du Bief,21
1952,Ice Hockey,Men's Ice Hockey,Canada,Men,1,gold,Canada,
1952,Ice Hockey,Men's Ice Hockey,United States,Men,2,silver,United States,
1952,Ice Hockey,Men's Ice Hockey,Sweden,Men,3,bronze,Sweden,
1952,Nordic Combined,Men's Individual,Norway,Men,1,gold,Simon SlÃ¥ttvik,34
1952,Nordic Combined,Men's Individual,Finland,Men,2,silver,Heikki Hasu,25
1952,Nordic Combined,Men's Individual,Norway,Men,3,bronze,Sverre Stenersen,25
1952,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,1,gold,Arnfinn Bergmann,23
1952,Ski Jumping,"Men's Normal Hill, Individual",Norway,Men,2,silver,TorbjÃ¸rn Falkanger,24
1952,Ski Jumping,"Men's Normal Hill, Individual",Sweden,Men,3,bronze,Karl HolmstrÃ¶m,26
1952,Speedskating,Men's 500 Meters,United States,Men,1,gold,Ken Henry,23
1952,Speedskating,Men's 500 Meters,United States,Men,2,silver,Don McDermott,22
1952,Speedskating,Men's 500 Meters,Canada,Men,3,bronze,Gordon Audley,23
1952,Speedskating,Men's 500 Meters,Norway,Men,3,bronze,Arne Johansen,24
1952,Speedskating,"Men's 1,500 Meters",Norway,Men,1,gold,Hjalmar Andersen,28
1952,Speedskating,"Men's 1,500 Meters",Netherlands,Men,2,silver,Wim van der Voort,28
1952,Speedskating,"Men's 1,500 Meters",Norway,Men,3,bronze,Roald Aas,23
1952,Speedskating,"Men's 5,000 Meters",Norway,Men,1,gold,Hjalmar Andersen,28
1952,Speedskating,"Men's 5,000 Meters",Netherlands,Men,2,silver,Kees Broekman,24
1952,Speedskating,"Men's 5,000 Meters",Norway,Men,3,bronze,Sverre Haugli,26
